timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1763309494.1457303,100.0,20226.3984375,30.9,0.0,0.0,0.0
1763309494.2933135,0.0,20223.90625,30.9,0.0,0.0,0.0
1763309494.4411,100.0,20226.09375,30.9,0.0,0.0,0.0
1763309494.8811042,100.0,20228.28125,30.9,0.0,0.0,0.0
1763309495.0455616,100.0,20224.7578125,30.9,0.0,0.0,0.0
1763309495.159531,100.0,20219.3046875,30.9,0.0,0.0,0.0
1763309495.309516,100.0,20222.625,30.9,0.0,0.0,0.0
1763309495.4638882,100.0,20220.44921875,30.9,0.0,0.0,0.0
1763309495.916386,100.0,20225.92578125,30.9,0.0,0.0,0.0
1763309496.0308175,100.0,20224.0546875,30.9,0.0,0.0,0.0
1763309496.1881795,100.0,20215.37109375,30.9,0.0,0.0,0.0
1763309496.3116078,100.0,20215.11328125,30.9,0.0,0.0,0.0
1763309496.764309,100.0,20230.14453125,30.9,0.0,0.0,0.0
1763309496.966419,100.0,20230.35546875,30.9,0.0,0.0,0.0
1763309497.081581,100.0,20222.84375,30.9,0.0,0.0,0.0
1763309497.2053924,100.0,20221.5625,30.9,0.0,0.0,0.0
1763309497.3467453,100.0,20221.64453125,30.9,0.0,0.0,0.0
1763309497.7240415,100.0,20228.875,30.9,0.0,0.0,0.0
1763309497.8675325,100.0,20229.3359375,30.9,0.0,0.0,0.0
1763309497.98342,100.0,20218.1484375,30.9,0.0,0.0,0.0
1763309498.123491,100.0,20213.26171875,30.9,0.0,0.0,0.0
1763309498.2516973,100.0,20220.95703125,30.9,0.0,0.0,0.0
1763309498.6638987,100.0,20227.76953125,30.9,0.0,0.0,0.0
1763309498.7792075,0.0,20228.14453125,30.9,0.0,0.0,0.0
1763309498.9121344,100.0,20226.5078125,30.9,0.0,0.0,0.0
1763309499.027686,0.0,20227.7421875,30.9,0.0,0.0,0.0
1763309499.1488285,100.0,20218.97265625,30.9,0.0,0.0,0.0
1763309499.6053965,100.0,20230.55859375,30.9,0.0,0.0,0.0
1763309499.7240646,100.0,20230.67578125,30.9,0.0,0.0,0.0
1763309499.8707397,100.0,20219.94140625,30.9,0.0,0.0,0.0
1763309500.02615,100.0,20217.1796875,30.9,0.0,0.0,0.0
1763309500.3739781,100.0,20229.52734375,30.9,0.0,0.0,0.0
1763309500.5969656,100.0,20230.73828125,30.9,0.0,0.0,0.0
1763309500.754217,100.0,20226.296875,30.9,0.0,0.0,0.0
1763309500.9124632,100.0,20215.87109375,30.9,0.0,0.0,0.0
1763309501.3339727,100.0,20230.00390625,30.9,0.0,0.0,0.0
1763309501.5086763,100.0,20233.7578125,30.9,0.0,0.0,0.0
1763309501.6408565,100.0,20232.0390625,30.9,0.0,0.0,0.0
1763309501.7649293,100.0,20223.421875,30.9,0.0,0.0,0.0
1763309501.9104435,100.0,20235.203125,30.9,0.0,0.0,0.0
1763309502.2721705,100.0,20235.11328125,30.9,0.0,0.0,0.0
1763309502.388678,0.0,20234.19140625,30.9,0.0,0.0,0.0
1763309502.5411317,100.0,20224.9609375,30.9,0.0,0.0,0.0
1763309502.6777472,100.0,20220.02734375,30.9,0.0,0.0,0.0
1763309503.0942519,100.0,20235.55078125,30.9,0.0,0.0,0.0
1763309503.2957435,100.0,20235.703125,30.9,0.0,0.0,0.0
1763309503.4168243,100.0,20227.453125,30.9,0.0,0.0,0.0
1763309503.530526,100.0,20231.41015625,30.9,0.0,0.0,0.0
1763309503.645965,100.0,20224.0625,30.9,0.0,0.0,0.0
1763309503.9903662,100.0,20234.2421875,30.9,0.0,0.0,0.0
1763309504.225184,100.0,20232.3984375,30.9,0.0,0.0,0.0
1763309504.345815,100.0,20223.98046875,30.9,0.0,0.0,0.0
1763309504.5807867,100.0,20211.9140625,30.9,0.0,0.0,0.0
1763309504.6969886,100.0,20208.890625,30.9,0.0,0.0,0.0
1763309504.8115067,100.0,20208.44921875,30.9,0.0,0.0,0.0
1763309504.9261494,100.0,20207.06640625,30.9,0.0,0.0,0.0
1763309505.0429642,0.0,20208.484375,30.9,0.0,0.0,0.0
1763309505.1817844,100.0,20206.6953125,30.9,0.0,0.0,0.0
1763309505.3176553,100.0,20268.33203125,30.9,0.0,0.0,0.0
1763309505.452389,100.0,20266.27734375,30.9,0.0,0.0,0.0
1763309505.5683658,100.0,20266.03125,30.9,0.0,0.0,0.0
1763309505.6862755,100.0,20266.02734375,30.9,0.0,0.0,0.0
1763309505.8379207,100.0,20267.578125,30.9,0.0,0.0,0.0
1763309505.9781146,100.0,20264.7890625,30.9,0.0,0.0,0.0
1763309506.1005006,100.0,20263.5546875,30.9,0.0,0.0,0.0
1763309506.2175493,0.0,20262.98828125,30.9,0.0,0.0,0.0
1763309506.3395438,0.0,20263.203125,30.9,0.0,0.0,0.0
1763309506.4556396,100.0,20263.28515625,30.9,0.0,0.0,0.0
1763309506.5725982,100.0,20264.8671875,30.9,0.0,0.0,0.0
1763309506.7164795,100.0,20264.82421875,30.9,0.0,0.0,0.0
1763309506.8668733,100.0,20262.5703125,30.9,0.0,0.0,0.0
1763309506.9856937,100.0,20264.4296875,30.9,0.0,0.0,0.0
1763309507.1066651,0.0,20265.28515625,30.9,0.0,0.0,0.0
1763309507.224694,100.0,20265.35546875,30.9,0.0,0.0,0.0
1763309507.3573446,100.0,20267.44140625,30.9,0.0,0.0,0.0
1763309507.4865093,100.0,20267.09375,30.9,0.0,0.0,0.0
1763309507.6220424,100.0,20267.34375,30.9,0.0,0.0,0.0
1763309507.7391045,100.0,20267.11328125,30.9,0.0,0.0,0.0
1763309507.8682458,100.0,20264.26953125,30.9,0.0,0.0,0.0
1763309507.9852884,100.0,20263.33203125,30.9,0.0,0.0,0.0
1763309508.1034486,100.0,20265.52734375,30.9,0.0,0.0,0.0
1763309508.2230349,100.0,20266.64453125,30.9,0.0,0.0,0.0
1763309508.3395073,0.0,20268.96875,30.9,0.0,0.0,0.0
1763309508.4546945,100.0,20266.5234375,30.9,0.0,0.0,0.0
1763309508.569366,100.0,20266.296875,30.9,0.0,0.0,0.0
1763309508.6877747,100.0,20266.2421875,30.9,0.0,0.0,0.0
1763309508.806735,100.0,20266.1875,30.9,0.0,0.0,0.0
